epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,926.394,1.36975,1.21309,1.38848,0.92054,0.8853,0.95964,0.74733,0.7771,0.5891,0.96486,0.00333253,0.00333253,0.00333253
2,1827.17,1.3527,1.03437,1.37852,0.89356,0.85405,0.93935,0.71641,0.96451,0.69791,1.00986,0.00663287,0.00663287,0.00663287
3,2961.48,1.41755,1.14843,1.44057,0.91816,0.81182,0.92112,0.70094,0.93108,0.81614,1.07459,0.00990021,0.00990021,0.00990021
4,4077.38,1.40366,1.12036,1.44469,0.94364,0.84815,0.94501,0.73015,0.89205,0.66998,1.03988,0.0098515,0.0098515,0.0098515
5,5203.17,1.32955,0.99744,1.39894,0.92137,0.86461,0.94675,0.73169,0.91856,0.7096,1.04648,0.009802,0.009802,0.009802
6,6263.58,1.28799,0.93564,1.37262,0.91228,0.85044,0.95075,0.74935,0.86582,0.67244,1.03938,0.0097525,0.0097525,0.0097525
7,7138.43,1.26146,0.89578,1.3566,0.90727,0.87627,0.95047,0.74903,0.86545,0.67909,1.03306,0.009703,0.009703,0.009703
8,8012.23,1.2393,0.86352,1.34087,0.92316,0.86504,0.94535,0.73487,0.91699,0.66411,1.04582,0.0096535,0.0096535,0.0096535
9,8886.81,1.22424,0.83659,1.33128,0.95355,0.88328,0.95256,0.75604,0.85595,0.65129,1.02558,0.009604,0.009604,0.009604
10,9772.76,1.21158,0.81829,1.32006,0.92402,0.88667,0.95192,0.75316,0.87478,0.63853,1.03214,0.0095545,0.0095545,0.0095545
11,10660,1.20079,0.80721,1.31232,0.94186,0.88317,0.95981,0.76395,0.85541,0.58887,1.02335,0.009505,0.009505,0.009505
12,11546.4,1.19312,0.79113,1.3032,0.93766,0.89855,0.96033,0.76135,0.85948,0.58092,1.01965,0.0094555,0.0094555,0.0094555
13,12433.2,1.18536,0.7802,1.29713,0.93363,0.89668,0.95767,0.75934,0.87207,0.59579,1.0212,0.009406,0.009406,0.009406
14,13320,1.17559,0.77098,1.28572,0.93935,0.8885,0.95808,0.75975,0.87453,0.59238,1.01986,0.0093565,0.0093565,0.0093565
15,14206.3,1.17315,0.76003,1.2884,0.94184,0.88512,0.95848,0.76146,0.86986,0.58553,1.02151,0.009307,0.009307,0.009307
16,15093.5,1.16311,0.75623,1.28056,0.94048,0.88711,0.95898,0.76146,0.86628,0.57938,1.02071,0.0092575,0.0092575,0.0092575
17,15979.5,1.16201,0.75029,1.27942,0.93782,0.88664,0.9594,0.76166,0.86387,0.5752,1.02045,0.009208,0.009208,0.009208
18,16864.9,1.15681,0.74444,1.27319,0.93839,0.87976,0.95937,0.76243,0.86114,0.57667,1.02005,0.0091585,0.0091585,0.0091585
19,17751.4,1.15343,0.7388,1.27637,0.93161,0.88745,0.95936,0.76431,0.85569,0.57404,1.01856,0.009109,0.009109,0.009109
20,18636.7,1.14711,0.72925,1.27028,0.93454,0.88154,0.9588,0.76229,0.86147,0.57747,1.01987,0.0090595,0.0090595,0.0090595
21,19522.8,1.14662,0.7249,1.27015,0.93118,0.88624,0.95937,0.76192,0.8671,0.57485,1.02143,0.00901,0.00901,0.00901
22,20409.7,1.13966,0.72225,1.26806,0.93474,0.88295,0.9585,0.76006,0.87019,0.57872,1.02248,0.0089605,0.0089605,0.0089605
23,21294.2,1.13643,0.71749,1.26513,0.93126,0.88364,0.95752,0.7584,0.87499,0.58015,1.02446,0.008911,0.008911,0.008911
24,22169.8,1.13269,0.70997,1.25631,0.92927,0.88347,0.95701,0.75916,0.87496,0.58449,1.02362,0.0088615,0.0088615,0.0088615
25,23160.5,1.13362,0.70901,1.26521,0.92238,0.88595,0.95618,0.75824,0.87631,0.58653,1.02398,0.008812,0.008812,0.008812
26,24036.1,1.12819,0.70741,1.2593,0.92707,0.88365,0.95662,0.75898,0.8734,0.58804,1.02246,0.0087625,0.0087625,0.0087625
27,24910.1,1.1266,0.69973,1.25628,0.93073,0.8803,0.95561,0.75893,0.87378,0.59616,1.02286,0.008713,0.008713,0.008713
28,25784.5,1.12464,0.70221,1.25489,0.93221,0.87641,0.95434,0.75806,0.87439,0.60404,1.02317,0.0086635,0.0086635,0.0086635
29,26659.6,1.12238,0.69521,1.25564,0.93061,0.87671,0.95406,0.75936,0.87061,0.6043,1.02235,0.008614,0.008614,0.008614
30,27534.1,1.12111,0.6945,1.24981,0.9311,0.87552,0.95386,0.76009,0.86921,0.60383,1.02095,0.0085645,0.0085645,0.0085645
31,28409.1,1.11666,0.68748,1.24178,0.93377,0.87393,0.95434,0.75869,0.87729,0.60338,1.02266,0.008515,0.008515,0.008515
