epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1021.69,1.3979,1.2894,1.42739,0.9152,0.91872,0.96436,0.69417,1.05019,0.56511,1.04292,0.00333261,0.00333261,0.00333261
2,2009.59,1.36699,1.1013,1.40416,0.89319,0.85272,0.92433,0.70011,0.89417,0.62262,1.01795,0.00663295,0.00663295,0.00663295
3,2986.31,1.43099,1.20414,1.45899,0.93068,0.85655,0.93203,0.68668,1.03776,0.73575,1.06971,0.00990028,0.00990028,0.00990028
4,3957.56,1.41559,1.17896,1.45712,0.92514,0.81886,0.88893,0.62475,1.22557,0.7562,1.16194,0.0098515,0.0098515,0.0098515
5,4928.43,1.34236,1.05508,1.4048,0.90408,0.81395,0.86367,0.64556,1.13388,0.71251,1.14719,0.009802,0.009802,0.009802
6,5897.48,1.30022,0.99108,1.38109,0.90872,0.82316,0.8684,0.66899,1.04786,0.67245,1.09932,0.0097525,0.0097525,0.0097525
7,6867.08,1.27499,0.94399,1.3619,0.90818,0.82287,0.90222,0.69528,0.99448,0.61184,1.06688,0.009703,0.009703,0.009703
8,7836.48,1.25902,0.91382,1.34556,0.88715,0.81098,0.88067,0.69075,0.97824,0.64518,1.04385,0.0096535,0.0096535,0.0096535
9,8807.22,1.24384,0.89265,1.33913,0.91464,0.80199,0.87526,0.67384,1.05353,0.65588,1.08929,0.009604,0.009604,0.009604
10,9778.95,1.23194,0.87378,1.33469,0.92731,0.80842,0.86869,0.67405,1.04376,0.65845,1.08657,0.0095545,0.0095545,0.0095545
11,10749.4,1.2196,0.85627,1.32216,0.92401,0.80844,0.86993,0.68322,1.002,0.64402,1.06774,0.009505,0.009505,0.009505
12,11720.2,1.21182,0.84205,1.31657,0.92567,0.81109,0.87363,0.68889,0.99126,0.63222,1.06118,0.0094555,0.0094555,0.0094555
13,12689.9,1.20576,0.83056,1.31193,0.92659,0.80859,0.86816,0.68255,1.01576,0.64849,1.07724,0.009406,0.009406,0.009406
14,13659.2,1.19838,0.82141,1.31138,0.92877,0.80792,0.86495,0.67895,1.02937,0.65317,1.08656,0.0093565,0.0093565,0.0093565
15,14628.6,1.19354,0.81711,1.30703,0.92918,0.80833,0.86675,0.68061,1.0293,0.64796,1.08555,0.009307,0.009307,0.009307
16,15599,1.1858,0.80499,1.29722,0.92916,0.80395,0.86547,0.67713,1.04044,0.65057,1.09051,0.0092575,0.0092575,0.0092575
17,16569.6,1.18185,0.80276,1.29907,0.92577,0.80431,0.86445,0.67749,1.0424,0.65292,1.09091,0.009208,0.009208,0.009208
18,17540.4,1.17697,0.79328,1.29294,0.92682,0.80201,0.86465,0.67782,1.04032,0.65174,1.08971,0.0091585,0.0091585,0.0091585
19,18510,1.17399,0.78594,1.29681,0.92147,0.80733,0.8627,0.67719,1.04643,0.65552,1.09589,0.009109,0.009109,0.009109
20,19480.1,1.17274,0.78624,1.29242,0.92335,0.80676,0.86343,0.67816,1.04659,0.65615,1.0984,0.0090595,0.0090595,0.0090595
21,20449.2,1.16711,0.77447,1.28586,0.92554,0.80703,0.86351,0.67796,1.04878,0.65761,1.10135,0.00901,0.00901,0.00901
22,21418.9,1.16467,0.77317,1.28508,0.92888,0.80519,0.86276,0.67677,1.05062,0.65837,1.10342,0.0089605,0.0089605,0.0089605
23,22388.4,1.15958,0.76895,1.28052,0.92938,0.80413,0.86441,0.67784,1.05069,0.65374,1.10345,0.008911,0.008911,0.008911
24,23358,1.16085,0.76453,1.28157,0.92849,0.80294,0.86345,0.67791,1.05221,0.65563,1.10427,0.0088615,0.0088615,0.0088615
25,24326.3,1.15837,0.76343,1.27786,0.92789,0.80436,0.86252,0.67764,1.05666,0.65519,1.10486,0.008812,0.008812,0.008812
26,25294.7,1.15071,0.75759,1.27692,0.92547,0.80152,0.85941,0.67503,1.06461,0.66355,1.11086,0.0087625,0.0087625,0.0087625
27,26264,1.14826,0.75197,1.27194,0.92723,0.80085,0.85668,0.67401,1.07119,0.66777,1.11421,0.008713,0.008713,0.008713
28,27234.2,1.14976,0.75082,1.27243,0.92494,0.79883,0.85644,0.67351,1.07396,0.67068,1.11675,0.0086635,0.0086635,0.0086635
29,28205.1,1.14707,0.74954,1.27017,0.92878,0.80074,0.85787,0.67392,1.08134,0.66893,1.12194,0.008614,0.008614,0.008614
30,29176.1,1.1453,0.74191,1.27057,0.92819,0.80119,0.85926,0.67477,1.08033,0.66865,1.12071,0.0085645,0.0085645,0.0085645
31,30146.5,1.14537,0.74306,1.2693,0.92832,0.80118,0.86064,0.676,1.08389,0.66915,1.12105,0.008515,0.008515,0.008515
32,31117.4,1.14257,0.74401,1.2628,0.92351,0.80315,0.85896,0.67209,1.09633,0.67557,1.12693,0.0084655,0.0084655,0.0084655
33,32087.3,1.1394,0.73756,1.25762,0.92107,0.80346,0.85804,0.66977,1.11108,0.67998,1.1341,0.008416,0.008416,0.008416
34,33056,1.13906,0.73444,1.26512,0.92049,0.80206,0.85766,0.66816,1.12134,0.685,1.13959,0.0083665,0.0083665,0.0083665
