epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1016.78,1.40209,1.26292,1.43222,0.92236,0.94456,0.96872,0.76599,0.80769,0.47863,0.94391,0.0683406,0.00166628,0.00166628
2,1999.28,1.29398,0.97214,1.3407,0.88792,0.87948,0.96545,0.76674,0.79992,0.58601,0.93791,0.0366575,0.00331645,0.00331645
3,2967.63,1.3434,1.05532,1.3787,0.94472,0.90465,0.96704,0.73326,0.95306,0.62651,1.01741,0.0049578,0.00495012,0.00495012
4,3930.82,1.35255,1.07146,1.38804,0.88115,0.85694,0.95429,0.71127,1.02361,0.70058,1.04714,0.00492575,0.00492575,0.00492575
5,4895,1.29981,0.99081,1.35851,0.90794,0.8837,0.96479,0.72904,1.00352,0.61122,1.0475,0.004901,0.004901,0.004901
6,5857.62,1.26986,0.94236,1.33859,0.89709,0.85681,0.95663,0.72447,1.01304,0.67543,1.06026,0.00487625,0.00487625,0.00487625
7,6820.55,1.243,0.89166,1.31832,0.88591,0.86284,0.9513,0.73061,1.01086,0.67672,1.05177,0.0048515,0.0048515,0.0048515
8,7783.23,1.22756,0.86841,1.31156,0.89492,0.86146,0.95601,0.71647,1.05227,0.64638,1.0772,0.00482675,0.00482675,0.00482675
9,8745.75,1.21128,0.84338,1.29866,0.8816,0.84959,0.94805,0.71964,1.03384,0.66826,1.06551,0.004802,0.004802,0.004802
10,9709.42,1.19947,0.8253,1.29375,0.89859,0.88679,0.95899,0.74168,0.96992,0.58803,1.03437,0.00477725,0.00477725,0.00477725
11,10674.1,1.18737,0.81055,1.28399,0.88255,0.84471,0.94976,0.72759,1.02754,0.6703,1.06651,0.0047525,0.0047525,0.0047525
12,11637.6,1.1786,0.80012,1.27692,0.87519,0.83633,0.94714,0.72405,1.05827,0.69709,1.08549,0.00472775,0.00472775,0.00472775
13,12690,1.16691,0.78559,1.27493,0.87894,0.84328,0.9498,0.72487,1.07325,0.68292,1.09179,0.004703,0.004703,0.004703
14,13891.2,1.16113,0.77113,1.27296,0.8604,0.83422,0.94738,0.72107,1.08657,0.71252,1.1016,0.00467825,0.00467825,0.00467825
15,14852.2,1.15482,0.76234,1.26304,0.87516,0.82775,0.94798,0.72171,1.08215,0.70416,1.10088,0.0046535,0.0046535,0.0046535
16,15814,1.15011,0.75645,1.26066,0.87913,0.83031,0.94984,0.72265,1.08326,0.69727,1.10191,0.00462875,0.00462875,0.00462875
17,16775.4,1.14258,0.74943,1.25767,0.88538,0.83093,0.95129,0.72436,1.07863,0.68714,1.09936,0.004604,0.004604,0.004604
18,17735.9,1.13456,0.73523,1.24985,0.88087,0.83446,0.95103,0.7252,1.0731,0.68286,1.09613,0.00457925,0.00457925,0.00457925
19,18696.4,1.13224,0.72859,1.2493,0.88061,0.83806,0.95234,0.72654,1.06858,0.67489,1.09252,0.0045545,0.0045545,0.0045545
20,19657.7,1.13253,0.72742,1.24793,0.88348,0.847,0.954,0.73,1.05459,0.6611,1.08464,0.00452975,0.00452975,0.00452975
21,20618.7,1.12687,0.71778,1.23863,0.88031,0.85131,0.95388,0.7304,1.05057,0.66058,1.08278,0.004505,0.004505,0.004505
22,21579.6,1.12012,0.71566,1.24446,0.86474,0.85573,0.95258,0.72927,1.05557,0.6751,1.08783,0.00448025,0.00448025,0.00448025
23,22539.9,1.11636,0.70734,1.23733,0.85128,0.85793,0.94969,0.72714,1.06076,0.69534,1.09343,0.0044555,0.0044555,0.0044555
24,23500.1,1.11213,0.70591,1.23617,0.8403,0.84975,0.94761,0.72567,1.0664,0.71891,1.0971,0.00443075,0.00443075,0.00443075
25,24461,1.10648,0.70266,1.23415,0.83225,0.85062,0.94613,0.72458,1.06526,0.72829,1.09636,0.004406,0.004406,0.004406
26,25421.8,1.10764,0.69535,1.2328,0.83178,0.84449,0.94426,0.72349,1.06564,0.73712,1.09634,0.00438125,0.00438125,0.00438125
27,26383,1.10224,0.69143,1.22702,0.82715,0.83818,0.94243,0.72362,1.06716,0.75274,1.09805,0.0043565,0.0043565,0.0043565
28,27343.9,1.09935,0.68778,1.22551,0.83486,0.82849,0.94222,0.72506,1.06389,0.75752,1.09534,0.00433175,0.00433175,0.00433175
29,28305.1,1.09674,0.68295,1.22382,0.83701,0.82708,0.94227,0.72585,1.06,0.755,1.09189,0.004307,0.004307,0.004307
30,29265.6,1.09597,0.67976,1.22635,0.83283,0.83273,0.94174,0.72678,1.05868,0.75433,1.09081,0.00428225,0.00428225,0.00428225
31,30227.5,1.09042,0.67638,1.21629,0.84316,0.82599,0.94288,0.72754,1.05543,0.74636,1.0884,0.0042575,0.0042575,0.0042575
