epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.884,0.85071,0.4464,0.9772,0.99541,0.9931,0.99482,0.8923,0.53867,0.24463,0.82426,0.00333278,0.00333278,0.00333278
2,714.603,0.87119,0.45846,0.98264,0.99417,0.99431,0.99468,0.88615,0.55599,0.25666,0.83064,0.00653412,0.00653412,0.00653412
3,1049.59,0.95532,0.52341,1.00893,0.9904,0.99231,0.99404,0.86866,0.58637,0.29171,0.83647,0.00960347,0.00960347,0.00960347
4,1380.8,1.02762,0.58451,1.03805,0.99239,0.99317,0.99425,0.87485,0.5894,0.29625,0.84099,0.009406,0.009406,0.009406
5,1710.8,1.02393,0.58132,1.0402,0.99434,0.99162,0.99489,0.87485,0.58795,0.2833,0.83936,0.009208,0.009208,0.009208
6,2042.2,1.00928,0.57313,1.03734,0.98896,0.99315,0.99407,0.87666,0.57628,0.2798,0.83948,0.00901,0.00901,0.00901
7,2373.01,0.99714,0.55949,1.03398,0.99741,0.99108,0.99491,0.87989,0.5776,0.26928,0.84178,0.008812,0.008812,0.008812
8,2702.72,0.98862,0.55119,1.03104,0.9916,0.99546,0.99486,0.88289,0.56853,0.26805,0.83943,0.008614,0.008614,0.008614
9,3034.14,0.97848,0.54414,1.02661,0.99178,0.99182,0.99427,0.88428,0.56517,0.26152,0.83626,0.008416,0.008416,0.008416
10,3366.84,0.96912,0.53521,1.02505,0.98825,0.99782,0.99493,0.88645,0.5554,0.25375,0.83727,0.008218,0.008218,0.008218
11,3697.68,0.96531,0.53297,1.02165,0.99533,0.98932,0.99455,0.88681,0.55778,0.25265,0.83389,0.00802,0.00802,0.00802
12,4027.9,0.95536,0.52595,1.02099,0.99445,0.99648,0.99433,0.88762,0.55644,0.24827,0.83582,0.007822,0.007822,0.007822
13,4357.61,0.94786,0.51892,1.02144,0.99214,0.99521,0.9946,0.88878,0.548,0.24592,0.83655,0.007624,0.007624,0.007624
14,4686.63,0.94645,0.51872,1.02015,0.99016,0.99775,0.99444,0.8886,0.54831,0.24352,0.8345,0.007426,0.007426,0.007426
15,5015.33,0.93624,0.51048,1.01769,0.99365,0.99521,0.99456,0.8907,0.54701,0.23905,0.83483,0.007228,0.007228,0.007228
16,5344.24,0.93213,0.5071,1.01447,0.99753,0.98887,0.9947,0.89044,0.54674,0.23802,0.83412,0.00703,0.00703,0.00703
17,5673.92,0.92531,0.50164,1.01205,0.99234,0.99451,0.99475,0.89218,0.54345,0.23601,0.83302,0.006832,0.006832,0.006832
18,6002.95,0.91943,0.49706,1.01015,0.98752,0.99727,0.99464,0.89334,0.54313,0.23591,0.83327,0.006634,0.006634,0.006634
19,6332.55,0.91566,0.49668,1.00971,0.99612,0.98824,0.99467,0.89333,0.54186,0.23628,0.83294,0.006436,0.006436,0.006436
20,6661.47,0.91184,0.4912,1.00988,0.99575,0.9878,0.99473,0.89314,0.54057,0.23433,0.83228,0.006238,0.006238,0.006238
21,6990.87,0.9062,0.48754,1.00449,0.98931,0.99516,0.99476,0.89373,0.53948,0.23266,0.83181,0.00604,0.00604,0.00604
22,7320.17,0.89888,0.48267,1.00472,0.99609,0.98884,0.99479,0.89314,0.53874,0.23208,0.83162,0.005842,0.005842,0.005842
23,7650.31,0.8929,0.48025,1.00127,0.98856,0.99674,0.9948,0.89334,0.53804,0.23085,0.83135,0.005644,0.005644,0.005644
24,7980.18,0.88934,0.47746,1.00066,0.98827,0.99701,0.99479,0.89278,0.53723,0.23011,0.83119,0.005446,0.005446,0.005446
25,8309.81,0.8818,0.47102,0.99698,0.99523,0.9901,0.9948,0.89369,0.53619,0.22994,0.83078,0.005248,0.005248,0.005248
26,8638.46,0.87922,0.46523,0.9982,0.98827,0.99669,0.99478,0.89486,0.53528,0.22998,0.8306,0.00505,0.00505,0.00505
