epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.67,1.32584,1.70981,1.30609,0.85428,0.79881,0.88541,0.67549,0.87587,0.90803,0.96977,0.00333244,0.00333244,0.00333244
2,1014.6,1.32148,1.08054,1.27988,0.86609,0.77621,0.92374,0.70548,0.89682,0.89684,0.97446,0.00662178,0.00662178,0.00662178
3,1499.25,1.37814,1.07298,1.32988,0.88372,0.73563,0.86046,0.63778,1.05736,1.00402,1.10047,0.00986712,0.00986712,0.00986712
4,1978.79,1.3652,1.02852,1.33459,0.89748,0.76462,0.90521,0.69473,0.8718,0.84574,1.01061,0.009802,0.009802,0.009802
5,2460.62,1.2973,0.91908,1.29129,0.9166,0.82827,0.92145,0.72564,0.84192,0.71209,0.98754,0.009736,0.009736,0.009736
6,2941,1.25806,0.86026,1.26464,0.90436,0.7628,0.89111,0.70334,0.84923,0.78441,0.9835,0.00967,0.00967,0.00967
7,3422.18,1.22881,0.82134,1.24522,0.92999,0.86209,0.93819,0.74032,0.84939,0.64802,0.98174,0.009604,0.009604,0.009604
8,3902.93,1.21043,0.7987,1.23139,0.91348,0.83959,0.92942,0.73604,0.83654,0.66612,0.97356,0.009538,0.009538,0.009538
9,4383.87,1.19521,0.77562,1.22302,0.85707,0.78033,0.90622,0.72903,0.8051,0.71001,0.96131,0.009472,0.009472,0.009472
10,4864.88,1.18304,0.75984,1.21247,0.84802,0.79271,0.89977,0.72449,0.81825,0.75675,0.96636,0.009406,0.009406,0.009406
11,5345.34,1.17031,0.7414,1.20536,0.88279,0.78565,0.90752,0.73247,0.80331,0.73213,0.95956,0.00934,0.00934,0.00934
12,5825.52,1.15907,0.73145,1.19341,0.88712,0.79056,0.90899,0.73425,0.81637,0.72323,0.96067,0.009274,0.009274,0.009274
13,6306.54,1.15691,0.72607,1.19592,0.85804,0.79881,0.90868,0.73121,0.84103,0.71573,0.96936,0.009208,0.009208,0.009208
14,6787.96,1.14541,0.7142,1.18932,0.89425,0.78971,0.91139,0.73488,0.8252,0.70021,0.96486,0.009142,0.009142,0.009142
15,7269.61,1.14003,0.70298,1.18198,0.90993,0.81422,0.92023,0.74197,0.82588,0.66918,0.96247,0.009076,0.009076,0.009076
16,7749.79,1.13564,0.69547,1.1778,0.91471,0.82164,0.92307,0.74431,0.82395,0.65803,0.96071,0.00901,0.00901,0.00901
17,8230.89,1.12917,0.69272,1.1751,0.91208,0.82407,0.92512,0.74647,0.82165,0.65064,0.96019,0.008944,0.008944,0.008944
18,8710.94,1.12331,0.68516,1.17165,0.91758,0.83252,0.92865,0.74939,0.82126,0.64181,0.95989,0.008878,0.008878,0.008878
