epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20929.9,1.14714,0.72488,1.19759,0.94743,0.87693,0.95495,0.7535,0.91988,0.60814,0.98919,0.007921,0.007921,0.007921
44,21415.4,1.14401,0.72797,1.20062,0.94478,0.87887,0.95478,0.7541,0.91587,0.60822,0.9883,0.0078715,0.0078715,0.0078715
45,21901,1.14145,0.72513,1.19804,0.94496,0.88722,0.95534,0.75453,0.91537,0.60112,0.98852,0.007822,0.007822,0.007822
46,22386.3,1.1409,0.72257,1.19522,0.94436,0.88858,0.95589,0.75509,0.91389,0.59539,0.98815,0.0077725,0.0077725,0.0077725
47,22870.6,1.139,0.71856,1.19525,0.94684,0.88903,0.95547,0.75436,0.91756,0.59308,0.9896,0.007723,0.007723,0.007723
48,23355.1,1.13593,0.71151,1.19015,0.94516,0.88662,0.95454,0.75277,0.92133,0.59117,0.99072,0.0076735,0.0076735,0.0076735
49,23840.1,1.13778,0.7168,1.19097,0.9449,0.88723,0.9544,0.75204,0.9261,0.58867,0.99171,0.007624,0.007624,0.007624
50,24325.1,1.13433,0.71438,1.19088,0.94063,0.88885,0.95359,0.75194,0.92742,0.58825,0.99228,0.0075745,0.0075745,0.0075745
51,24810.6,1.13633,0.71189,1.18902,0.93822,0.88681,0.95234,0.74964,0.93133,0.59226,0.99376,0.007525,0.007525,0.007525
52,25295.4,1.13127,0.70438,1.18513,0.94043,0.88248,0.95187,0.75065,0.92728,0.59002,0.99291,0.0074755,0.0074755,0.0074755
53,25780.5,1.13275,0.7097,1.18695,0.94271,0.87764,0.95093,0.74884,0.9295,0.59192,0.99372,0.007426,0.007426,0.007426
54,26265.1,1.13191,0.70762,1.1859,0.94233,0.87246,0.94959,0.74875,0.92831,0.59473,0.99385,0.0073765,0.0073765,0.0073765
55,26750.4,1.1282,0.70788,1.18564,0.94037,0.87433,0.94935,0.74847,0.92897,0.59714,0.99327,0.007327,0.007327,0.007327
