epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,994.588,1.40033,1.29115,1.42473,0.90482,0.89379,0.95864,0.71238,0.91502,0.59333,0.97263,0.00333261,0.00333261,0.00333261
2,1953.4,1.36939,1.10246,1.40137,0.87365,0.69406,0.90993,0.65922,1.11731,1.0959,1.11578,0.00663295,0.00663295,0.00663295
3,2906.58,1.43104,1.19983,1.45457,0.91252,0.86693,0.95062,0.6747,1.09101,0.7706,1.08433,0.00990028,0.00990028,0.00990028
4,3854.96,1.41284,1.18112,1.45594,0.90116,0.84127,0.95051,0.67671,1.09679,0.72096,1.11651,0.0098515,0.0098515,0.0098515
5,4797.39,1.33987,1.05866,1.40873,0.89966,0.85976,0.94998,0.68811,1.10095,0.70458,1.11873,0.009802,0.009802,0.009802
6,5739.97,1.29874,0.991,1.38125,0.88744,0.86377,0.95334,0.72079,1.00989,0.67332,1.06647,0.0097525,0.0097525,0.0097525
7,6681.48,1.27479,0.94739,1.36665,0.89119,0.8567,0.96091,0.72336,1.04389,0.6779,1.08078,0.009703,0.009703,0.009703
8,7623.4,1.2572,0.91959,1.35663,0.87191,0.85257,0.96607,0.74566,0.96165,0.65996,1.0427,0.0096535,0.0096535,0.0096535
9,8564.42,1.24385,0.89206,1.3449,0.88159,0.80524,0.95431,0.73722,0.99452,0.74338,1.05913,0.009604,0.009604,0.009604
10,9505.59,1.23152,0.87194,1.33782,0.88079,0.83683,0.95583,0.73494,1.00397,0.68566,1.07063,0.0095545,0.0095545,0.0095545
11,10445.2,1.2192,0.85617,1.32682,0.88016,0.83793,0.95466,0.73655,0.99413,0.69335,1.06672,0.009505,0.009505,0.009505
12,11385.2,1.2122,0.84461,1.32319,0.86552,0.84199,0.95249,0.73214,1.00665,0.71006,1.0753,0.0094555,0.0094555,0.0094555
13,12323.5,1.20653,0.83399,1.31679,0.85765,0.8358,0.94856,0.72633,1.02649,0.73366,1.08928,0.009406,0.009406,0.009406
14,13261.9,1.1994,0.82201,1.3166,0.85054,0.82391,0.94495,0.72183,1.04097,0.76357,1.0996,0.0093565,0.0093565,0.0093565
15,14200.4,1.19746,0.81782,1.31426,0.85156,0.81582,0.9439,0.72252,1.04231,0.7778,1.10089,0.009307,0.009307,0.009307
16,15139.5,1.18585,0.80646,1.3057,0.84173,0.82056,0.94401,0.72115,1.04267,0.78336,1.10063,0.0092575,0.0092575,0.0092575
17,16080.2,1.18288,0.80066,1.3021,0.85042,0.82892,0.94709,0.72369,1.03828,0.7589,1.09772,0.009208,0.009208,0.009208
18,17021.8,1.18103,0.79288,1.29417,0.8516,0.83261,0.94817,0.72459,1.03578,0.75004,1.09645,0.0091585,0.0091585,0.0091585
19,17964.8,1.17562,0.78661,1.29094,0.85505,0.82873,0.94861,0.72393,1.03884,0.74591,1.09699,0.009109,0.009109,0.009109
20,18907.4,1.17165,0.7857,1.29558,0.84742,0.83087,0.94813,0.72359,1.04083,0.75171,1.0997,0.0090595,0.0090595,0.0090595
21,19850.4,1.16742,0.7757,1.28964,0.85207,0.82799,0.94801,0.72376,1.04617,0.75239,1.10426,0.00901,0.00901,0.00901
22,20793,1.16496,0.77237,1.28774,0.86001,0.82206,0.94745,0.7234,1.04835,0.75375,1.10629,0.0089605,0.0089605,0.0089605
23,21736.2,1.16224,0.76952,1.28384,0.86292,0.81584,0.94714,0.7232,1.04729,0.75775,1.10589,0.008911,0.008911,0.008911
24,22679.1,1.16214,0.76416,1.28602,0.86073,0.81659,0.94677,0.72205,1.04959,0.76023,1.10687,0.0088615,0.0088615,0.0088615
25,23621.4,1.15939,0.76191,1.28042,0.8654,0.81686,0.94788,0.72413,1.04685,0.7516,1.10345,0.008812,0.008812,0.008812
26,24564.2,1.1512,0.75706,1.27233,0.87198,0.81634,0.94918,0.72694,1.04432,0.74225,1.10024,0.0087625,0.0087625,0.0087625
27,25505.6,1.15103,0.75114,1.27215,0.87535,0.82564,0.95017,0.72742,1.04659,0.72995,1.09965,0.008713,0.008713,0.008713
28,26446.7,1.15122,0.74924,1.26937,0.87088,0.8295,0.9491,0.72586,1.05414,0.74001,1.1027,0.0086635,0.0086635,0.0086635
29,27389.2,1.1483,0.74769,1.27126,0.87057,0.82948,0.9473,0.72465,1.05926,0.74982,1.10611,0.008614,0.008614,0.008614
30,28331.8,1.14387,0.74593,1.27067,0.8691,0.82754,0.94539,0.72222,1.06575,0.75354,1.10944,0.0085645,0.0085645,0.0085645
31,29274.5,1.14345,0.74286,1.26756,0.87042,0.82495,0.9456,0.72166,1.07023,0.75344,1.10983,0.008515,0.008515,0.008515
32,30217.3,1.14284,0.74328,1.2699,0.87228,0.82267,0.94576,0.72059,1.07784,0.75791,1.11495,0.0084655,0.0084655,0.0084655
33,31159.9,1.14034,0.73557,1.26709,0.8726,0.82562,0.94566,0.71999,1.0844,0.75606,1.11856,0.008416,0.008416,0.008416
34,32102.2,1.13652,0.7345,1.26552,0.86485,0.81698,0.94379,0.71735,1.09767,0.77394,1.12623,0.0083665,0.0083665,0.0083665
35,33043.9,1.13872,0.7325,1.26109,0.85601,0.80789,0.94102,0.71481,1.10953,0.79811,1.13217,0.008317,0.008317,0.008317
36,33984.9,1.13352,0.73304,1.25913,0.86005,0.80357,0.94035,0.71303,1.12016,0.80493,1.13787,0.0082675,0.0082675,0.0082675
37,34927.4,1.13303,0.72729,1.26163,0.85243,0.80277,0.93834,0.71092,1.12865,0.81824,1.14375,0.008218,0.008218,0.008218
38,35869,1.13226,0.72611,1.25414,0.85482,0.80084,0.93871,0.71106,1.12871,0.81977,1.14333,0.0081685,0.0081685,0.0081685
