epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,712.129,1.533,1.55516,1.52295,0.94816,0.93341,0.98139,0.77845,0.77183,0.42879,0.90191,0.0802043,0.000199957,0.000199957
2,1374.4,1.34638,1.13703,1.36037,0.9361,0.93634,0.9831,0.79126,0.74881,0.42438,0.89528,0.0604023,0.000397977,0.000397977
3,2028.32,1.29231,1.02861,1.31329,0.91486,0.93816,0.98187,0.79543,0.76374,0.43596,0.89757,0.0405984,0.000594017,0.000594017
4,2674.01,1.269,0.98585,1.2985,0.94137,0.9469,0.98524,0.80617,0.73045,0.39303,0.88482,0.0207924,0.000788077,0.000788077
5,3317.27,1.25998,0.97006,1.29421,0.94316,0.95176,0.98655,0.80964,0.75238,0.38987,0.89719,0.000984497,0.000980157,0.000980157
6,3955.71,1.25495,0.95262,1.29232,0.93185,0.94338,0.98392,0.80076,0.77293,0.41203,0.91128,0.00097525,0.00097525,0.00097525
7,4593.76,1.23219,0.91613,1.27541,0.91296,0.93617,0.97992,0.79165,0.8032,0.43275,0.91758,0.0009703,0.0009703,0.0009703
8,5228.54,1.21845,0.89877,1.2675,0.92397,0.94147,0.98324,0.80418,0.77076,0.40742,0.90354,0.00096535,0.00096535,0.00096535
9,5867.43,1.20575,0.87152,1.25433,0.89844,0.94292,0.98164,0.79822,0.80123,0.42667,0.91197,0.0009604,0.0009604,0.0009604
10,6505.16,1.19378,0.8551,1.24419,0.90298,0.93972,0.9814,0.79753,0.8117,0.42649,0.91548,0.00095545,0.00095545,0.00095545
11,7142.59,1.18474,0.84257,1.23318,0.89844,0.9328,0.97977,0.7926,0.82773,0.43793,0.91983,0.0009505,0.0009505,0.0009505
12,7780.69,1.17813,0.82933,1.23173,0.9023,0.92946,0.97966,0.79089,0.83615,0.4382,0.92297,0.00094555,0.00094555,0.00094555
13,8418.49,1.17042,0.81805,1.2246,0.90075,0.93441,0.98018,0.7907,0.84582,0.43772,0.92608,0.0009406,0.0009406,0.0009406
14,9056.47,1.16171,0.80568,1.22144,0.90121,0.93521,0.98066,0.78989,0.85396,0.43969,0.92847,0.00093565,0.00093565,0.00093565
15,9694.91,1.15685,0.80154,1.21596,0.90439,0.92789,0.98055,0.79066,0.85481,0.44207,0.9277,0.0009307,0.0009307,0.0009307
16,10332.8,1.14712,0.78927,1.20864,0.89842,0.92487,0.97978,0.78968,0.86301,0.4484,0.92967,0.00092575,0.00092575,0.00092575
17,10971.2,1.14417,0.78178,1.20677,0.89929,0.91844,0.97924,0.78759,0.87652,0.45476,0.93377,0.0009208,0.0009208,0.0009208
18,11609.7,1.13819,0.77575,1.20295,0.89464,0.92068,0.97914,0.78736,0.882,0.45842,0.93501,0.00091585,0.00091585,0.00091585
19,12246.8,1.13573,0.76867,1.20036,0.88945,0.91791,0.97799,0.78521,0.89192,0.4702,0.93834,0.0009109,0.0009109,0.0009109
20,12885.2,1.12956,0.76307,1.19912,0.88011,0.91428,0.9769,0.78243,0.89901,0.482,0.94058,0.00090595,0.00090595,0.00090595
21,13523.1,1.1245,0.75634,1.19537,0.87774,0.90761,0.97591,0.77868,0.91014,0.49229,0.94434,0.000901,0.000901,0.000901
22,14161.6,1.12147,0.75117,1.19205,0.87539,0.90468,0.97491,0.77742,0.91759,0.50122,0.94711,0.00089605,0.00089605,0.00089605
23,14798.8,1.11656,0.75062,1.19163,0.87363,0.90042,0.97349,0.77522,0.9245,0.51183,0.94943,0.0008911,0.0008911,0.0008911
24,15436.5,1.11542,0.74185,1.19071,0.87223,0.89504,0.97258,0.77382,0.92979,0.52152,0.95072,0.00088615,0.00088615,0.00088615
25,16074.2,1.11261,0.74062,1.18731,0.87288,0.8926,0.9726,0.77316,0.93631,0.5248,0.95258,0.0008812,0.0008812,0.0008812
26,16712,1.10417,0.73199,1.18037,0.86885,0.88944,0.97179,0.77094,0.94345,0.53481,0.95517,0.00087625,0.00087625,0.00087625
27,17347.9,1.10145,0.72807,1.17873,0.86517,0.89075,0.97167,0.76905,0.95175,0.5411,0.95858,0.0008713,0.0008713,0.0008713
28,17986.7,1.1008,0.72653,1.18107,0.86542,0.88881,0.97057,0.76627,0.95909,0.54256,0.96162,0.00086635,0.00086635,0.00086635
29,18624.6,1.09734,0.7216,1.17904,0.86296,0.8842,0.96929,0.76489,0.96267,0.55028,0.96305,0.0008614,0.0008614,0.0008614
30,19262.8,1.09497,0.71607,1.17429,0.86327,0.87582,0.96739,0.76162,0.96964,0.56278,0.96701,0.00085645,0.00085645,0.00085645
31,19901.4,1.09254,0.71285,1.17054,0.85827,0.8714,0.96563,0.75845,0.97897,0.57521,0.97124,0.0008515,0.0008515,0.0008515
32,20538.9,1.09125,0.7116,1.16997,0.84029,0.88977,0.96474,0.7564,0.98875,0.58147,0.97531,0.00084655,0.00084655,0.00084655
33,21175.9,1.08464,0.70571,1.16836,0.83698,0.8907,0.96333,0.75336,0.99742,0.58828,0.97903,0.0008416,0.0008416,0.0008416
34,21813.9,1.08391,0.70564,1.16649,0.86653,0.85225,0.96195,0.75191,1.0008,0.59789,0.98123,0.00083665,0.00083665,0.00083665
35,22451.1,1.084,0.70012,1.16785,0.87111,0.84877,0.96156,0.75147,1.00481,0.60197,0.98381,0.0008317,0.0008317,0.0008317
36,23089.7,1.08215,0.69826,1.16734,0.86839,0.8474,0.96056,0.74956,1.01135,0.6152,0.98853,0.00082675,0.00082675,0.00082675
37,23728,1.07718,0.6951,1.16323,0.87199,0.83961,0.95915,0.74828,1.01415,0.62602,0.98984,0.0008218,0.0008218,0.0008218
38,24366.2,1.07432,0.69476,1.16082,0.8705,0.84014,0.95902,0.74831,1.01348,0.62635,0.98909,0.00081685,0.00081685,0.00081685
39,25004.5,1.07182,0.69017,1.16077,0.87637,0.84176,0.96064,0.74881,1.0124,0.61397,0.98809,0.0008119,0.0008119,0.0008119
40,25642.4,1.06873,0.68727,1.15709,0.87804,0.84298,0.96066,0.74898,1.01285,0.61287,0.98844,0.00080695,0.00080695,0.00080695
41,26281.1,1.07022,0.6877,1.15812,0.87518,0.8423,0.9597,0.74845,1.01132,0.62365,0.98903,0.000802,0.000802,0.000802
42,26916.9,1.06685,0.68283,1.15622,0.87428,0.83695,0.95837,0.74628,1.01549,0.63861,0.99176,0.00079705,0.00079705,0.00079705
43,27554.6,1.06299,0.67914,1.15461,0.8751,0.83371,0.95744,0.74654,1.01629,0.64804,0.9925,0.0007921,0.0007921,0.0007921
44,28191.3,1.06365,0.67905,1.15574,0.87372,0.83102,0.95636,0.74538,1.01752,0.65946,0.99372,0.00078715,0.00078715,0.00078715
45,28828,1.06003,0.67719,1.15244,0.87243,0.82816,0.95448,0.74466,1.02131,0.67519,0.99592,0.0007822,0.0007822,0.0007822
